question	answer	source
Complete the following sentence. Weird US law: in Alabama, it is illegal ... in church.	to wear a fake mustache that causes laughter	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Alaska, it is illegal to wake a sleeping bear ... .	to take a photo	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Arizona, it is illegal for donkeys ... .	to sleep in bathtubs	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Florida, if ..., the parking fee has to be paid just as it would fo a vehicle.	an elephant is left tied to a parking meter	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Georgia, it is illegal to keep ... in your back pocket on Sundays.	an ice cream cone	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Connecticut, a pickle cannot be legally considered a pickle unless ... .	it bounces	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: In Idaho, it is illegal to give your sweetheart a box of chocolates ... .	weighing more than 50 pounds	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Kentucky, one may not ... and offer it for sale unless more than six are for sale at one.	dye a duckling blue	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Louisiana, you can be fine $500 for sending ... to someone's house without his or her knowledge.	a pizza order	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Maine, concerning Christmas decorations, it is illegal to ... .	keep them up after January 14	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Minnesota, a person may not cross state lines ... .	with a duck atop his or her head	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Missouri, it is illegal to drive ... .	with an uncaged bear	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Nevada, it is illegal to drive ... on the highway.	a camel	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in New Hampshire, as of 1973, it is illegal to carry away or collect ... at night.	seaweed	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in North Dakota, it is illegal to lie down and fall asleep ... .	with your shoes on	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Oklahoma, it is illegal to wrestle ... .	a bear	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Oregon, it is illegal to go hunting ... .	in a cimetery	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in South Dakota, it is illegal to sleep ... .	in a cheese factory	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Tennessee, it is illegal to share ... .	your Netflix password	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in West Virginia, whistling ... is prohibited.	underwater	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Wisconsin, it is illegal to serve butter substitutes ... .	in prison	https://online.olivet.edu/news/united-states-crazy-laws
Complete the following sentence. Weird US law: in Wyoming, you may not ... from January to April without an official permit.	take a picture of a rabbit	https://online.olivet.edu/news/united-states-crazy-laws
